Centrality,full-balanced-importance,full-unbalanced
betweenness_centrality,Doctypebranch: -0.3602 | Importance: -0.3708,Doctypebranch: -0.3637 | Importance: -0.4434
closeness_centrality,Doctypebranch: -0.4191 | Importance: -0.4870,Doctypebranch: -0.4467 | Importance: -0.4432
core_number,Doctypebranch: -0.3734 | Importance: -0.4507,Doctypebranch: -0.2053 | Importance: -0.4781
degree_centrality,Doctypebranch: -0.3922 | Importance: -0.4682,Doctypebranch: -0.2228 | Importance: -0.4869
disruption,Doctypebranch: 0.2145 | Importance: 0.2153,Doctypebranch: 0.1609 | Importance: 0.2660
eigenvector_centrality,Doctypebranch: -0.4215 | Importance: -0.4899,Doctypebranch: -0.4464 | Importance: -0.4430
harmonic_centrality,Doctypebranch: -0.4262 | Importance: -0.4940,Doctypebranch: -0.4480 | Importance: -0.4477
hits_authority,Doctypebranch: -0.4393 | Importance: -0.4730,Doctypebranch: -0.4112 | Importance: -0.4181
hits_hub,Doctypebranch: -0.0986 | Importance: -0.1087,Doctypebranch: -0.0121 | Importance: -0.1953
in_degree_centrality,Doctypebranch: -0.4529 | Importance: -0.5042,Doctypebranch: -0.4462 | Importance: -0.4680
out_degree_centrality,Doctypebranch: -0.1890 | Importance: -0.2163,Doctypebranch: -0.0628 | Importance: -0.3495
pagerank,Doctypebranch: -0.4398 | Importance: -0.5161,Doctypebranch: -0.4411 | Importance: -0.4551
relative_in_degree_centrality,Doctypebranch: -0.4430 | Importance: -0.4714,Doctypebranch: -0.4262 | Importance: -0.4640
